Love and Death;1975;W. Allen
Bananas;1971;W. Allen
Knockin’ on Heaven’s Door;1997;G. Carroll
Pulp Fiction;1994;Q. Tarantino
American History X;1998;T. Kaye
Shutter Island;2010;M. Scorsese
Whiplash;2014;D. Chazelle
Husbands and Wives;1992;W. Allen
Almost Famous;2000;C. Crowe
