Almost Famous;2000;C. Crowe
Husbands and Wives;1992;W. Allen
Whiplash;2014;D. Chazelle
Shutter Island;2010;M. Scorsese
American History X;1998;T. Kaye
Pulp Fiction;1994;Q. Tarantino
Knockin’ on Heaven’s Door;1997;G. Carroll
Bananas;1971;W. Allen
Love and Death;1975;W. Allen
